"","...1","date","EmployeeStatus","reviewer_id","rating_overall.2.11.","rating_workfamily","rating_culture","rating_diversity","rating_leadership","rating_opportunity","rating_compensation","review_pros","review_cons","ceo_approval","Company"
"1",2,2023-08-02 07:38:16,TRUE,78787932,3,3,1,5,1,3,4,"Work with some of the smartest and most passionate people out there. Great comp. Okay benefits.","Your happiness is almost solely based on who your VP. AMD is full of amazing people, but a few VPs are nightmares. They will treat you like crap, and you will like it. Because VPs are a rank that are untouchable. No matter how many cases of abuse, threatening, throwing people under the bus for their own decisions, misconduct or anything you take to HR nothing will happen. They will be allowed to burn person after person out. And that's just okay. It's a bit hard to be fair to the whole company, a lot of teams rant and rave about the amazing culture And community they have, but it's incredibly team dependent which is very disappointing","1","Advanced Micro Device"
"2",3,2023-08-10 20:06:07,TRUE,79051235,3,4,3,3,5,4,4,"Compensation is decent. Benefits are OK. Work has potential to be interesting. Company does a good job communicating from top level to all employees.","The job can be quite monotonous and boring. I've been in the position about 1.5 yrs and before I accepted the job and from the interviews I got the vibe that the skills I would learn would be more relevant but the job sounded super boring and the interviewers sounded tired. After going through the experience I can say my first 6 months I was pretty excited to be working here, but it's gotten worse each half year. Mainly the projects take a really long time, either to get going or to wrap up. There's always a reason for delaying it getting going, so a ton of time is spent on preparation but we don't ever seem to be confident that everything will go 100% smooth because it inevitably never will. Then the projects that need to be wrapped up either take longer than expected because people don't know what to do well enough, or it hasn't ever been encountered in exactly the way we are now, those are sort of unavoidable but what is avoidable is getting everyone to agree that the solution we came up with is good enough and meets the targets we set so that we can close the ticket, get off the ship and work on the next thing. That really needs improving. Also, the most obvious thing is we have too many meetings. I mean if you google how many meetings people should have in a day, the recommendation is 3-4 but the minimum is 4 and can go up from there, really 5 if you want to be involved in everything, and that's just being present where you need to be. You could certainly spend your entire day just attending meetings and that would not be very productive.","1","Advanced Micro Device"
"3",4,2023-08-30 08:38:23,TRUE,79621008,4,3,3,3,2,4,4,"Good benefits and reasonable hours","Very corporate mentality while insisting that they are progressive","0","Advanced Micro Device"
"4",5,2023-08-22 15:50:04,FALSE,79384299,3,4,5,5,4,4,4,"- Interns can get a great opportunity to showcase their skills and collaborate with the engineers on the team. - Good diversity - You can easily network with people, especially seniors.","- You need to have some knowledge or general interest in the hardware.","1","Advanced Micro Device"
"5",6,2023-07-31 14:16:28,FALSE,78730134,3,0,0,0,0,0,0,"Good pay and benefits opportunity for advancement interesting work coworkers are great","- credit theifs - management lies. They had layoffs less than 2 weeks after the CEO promised on a all hands meeting that there would be no layoffs. - Its easy to get overlooked and hard to be heard - Direction and planning is poor","0","Advanced Micro Device"
"6",8,2023-07-07 13:10:14,FALSE,78053599,4,1,1,1,1,1,1,"Many people think AMD has potential for exponential growth","Thoughout my career, I have worked domestically and internationally - across multiple Fortune 500 companies, and I've never worked for a company as toxic and broken as AMD. They are desperate and hungry to be in the leagues of major tech companies - but at their core, they are extremely dated and broken in bureaucracy. The culture is so toxic, they suck the life out of you by priding themselves on working weekends, skipping holidays and precious family time and celebrations with the hope and prayer for a year end bonus in exchange. This company has the opposite values of any company I'd like to work for long term. There have been so many former employees that have gone to HR about management violating ethics, policies, etc., but the reports are immediately silenced and discarded. The same toxic management continues to prevail, at the expense of so many who wish to escape. Very scary company - stay away!","0","Advanced Micro Device"
"7",11,2023-08-06 22:43:33,TRUE,78910300,5,4,5,5,3,4,4,"Work is challenging and can improve one's work skill","Attend meeting on morning and night regardless of different time zone No free items or holiday gift when company is not doing well RSU grant is too low bonus is less","1","Advanced Micro Device"
"8",13,2023-08-14 10:57:38,TRUE,79131292,2,3,5,5,5,5,4,"Great innovating minds Leading technology","Underlying expectation to work long hours","1","Advanced Micro Device"
"9",14,2023-06-18 22:56:08,TRUE,77496262,5,1,2,3,1,3,1,"Brilliant technology that have disrupted the industry and allowed for deep technology advancements.","Under the mindset of setting unrealistic targets without a chance to hit does not motivate sellers. Sales reps no longer receive commission checks from this company and nearly 90% of the sales reps are currently looking to make a move. Without a driven sales team AMD is likely is soon face difficult times ahead, regardless if they have the best products in the market. Potential candidates, you will be placed on a 60\u002F40, in order to get anything you'll need to hit 70% of your target. No one hits 70% so you'll want to be prepared for only get paid the 60%&gt;","1","Advanced Micro Device"
"10",15,2023-08-10 21:20:20,TRUE,79052468,4,5,5,5,5,5,5,"Flexible, competitive pay, minimal glass ceilings, challenging and fast-paced","Sometimes minimal process definition can result in unnecessary challenges.","1","Advanced Micro Device"
"11",16,2023-08-10 14:25:46,TRUE,79044230,3,5,3,3,4,2,4,"Vacation, stock options, benefits all excellent.","If you are contracting it may take a while to get converted to FTE.","1","Advanced Micro Device"
"12",23,2023-05-25 14:38:27,FALSE,76791137,5,5,5,2,4,4,3,"Solid company with great CEO Very smart and talented people Lack of politics A lot of celebrations and activities New campus at excellent location Dynamic team spirit","Too many people came in recently and impacted the company culture, increasing competition severely. Too much worry about catching up on Nvidia and thus disrupting the company culture and harmony. Managers can easily lay off whoever the want, no matter how talented the engineers are.","1","Advanced Micro Device"
"13",24,2023-07-12 09:46:25,FALSE,78189256,4,5,5,5,5,5,4,"Good management can be found.","Monotonous nature of work at times.","1","Advanced Micro Device"
"14",26,2023-03-21 09:38:15,TRUE,74731864,3,1,2,5,5,4,4,"- Good compensation - You work on things that matter and can see their impact - Leadership is strong, with leaders commonly being experts in the groups they lead","- Work\u002FLife Balance is a joke. Consistent late evening calls, and while they put on a facade of making personal life important, at the core they want you to devote your life to AMD - 3 days in office 2 days wfh, and they actively monitor you. Anything less needs Leadership approval (i.e. they let you go and they hire someone who will come in at least 3 days a week). - Very few \""fun\"" events (i.e. happy hours, top golf, etc.) - Overall, focus is very much on working hard, with little thought given to fun, rest, and personal time. - Specifically for finance, Quarter Closes are absolute nightmares. Worst I've ever seen at any company. You lose at least 1 week of your life every 3 months.","1","Advanced Micro Device"
"15",28,2023-06-30 13:27:14,FALSE,77866292,4,1,1,3,1,3,3,"Amazing people, Fantastic CEO, best products, and opportunity (when there isn't a recession)","They don't actually have the culture they portray. They don't have enough staff so you rarely feel supported to take time off. New managers are hired that treat teams\u002Fpeople horribly and create a toxic environment.","1","Advanced Micro Device"
"16",29,2023-07-31 15:52:43,FALSE,78732386,2,4,5,5,4,4,4,"Good payment and good benefit.","Sales target is very aggressive target.","1","Advanced Micro Device"
"17",31,2023-06-22 09:55:05,TRUE,77623753,5,5,5,5,5,5,5,"CEO is as transparent as she can be. She is excellent.","High turnover for FAANG companies makes knowledge-sharing difficult.","1","Advanced Micro Device"
"18",33,2023-08-02 13:53:13,TRUE,78801107,5,3,3,3,3,3,4,"N\u002FA I love my job","Please improve computer and coffee in the office","1","Advanced Micro Device"
"19",35,2023-07-31 15:24:47,FALSE,78731777,5,1,2,3,1,1,1,"Global company with growing revenue","Workload is always an overload Growth plans are not common Management is out of touch with employees","0","Advanced Micro Device"
"20",36,2023-06-21 00:17:28,TRUE,77570928,5,5,4,4,4,4,4,"Good work life balance at AMD.","Less career switching opportunities at AMD.","1","Advanced Micro Device"
"21",38,2023-06-16 20:07:39,TRUE,77459667,5,5,5,5,5,5,4,"Good company. Caring executives and managers","Knowledge transfer is difficult. It must be hard for someone to start jobs here","1","Advanced Micro Device"
"22",39,2023-06-12 12:22:34,TRUE,77300603,4,3,5,5,5,5,4,"Great company, great leadership, fantastic engineers.","Compensation lower compared to similar companies.","1","Advanced Micro Device"
"23",41,2023-06-12 20:14:22,TRUE,77312265,5,4,5,5,5,5,5,"Working on exciting stuff, can't complain","Nothing yet, all good and sweet","1","Advanced Micro Device"
"24",42,2023-06-15 09:24:09,TRUE,77411929,1,5,5,5,5,5,5,"Great company friendly couture .","Great company, friendly couture, nice environment","1","Advanced Micro Device"
"25",43,2023-08-01 07:48:48,FALSE,78752491,2,1,1,1,1,1,1,"Looks good on your resume.","Toxic Leaders in power. Worst experience of my entire career. Underpaid and over worked.","0","Advanced Micro Device"
"26",45,2023-04-13 15:08:09,TRUE,75474599,5,4,5,5,5,5,3,"- AMD is the place for someone that is looking for long term career. - Very supportive in terms of education. - Supportive and flexible management. - It is a big corporation with start up mindset. - Broad range of product portfolios and very strong in each segment. -","-The title and the job description that are posted are often not really the representation of the real job","1","Advanced Micro Device"
"27",51,2023-06-14 15:00:28,FALSE,77384776,3,1,1,2,2,4,2,"-Business leaders are passionate about what they do despite lack of empowerment\r\n-Enjoy working with client groups\r\n-Great product","-Executives do not care about employees\r\n-The most outdated HR processes and tools myself and others have experienced in our career\r\n-Leadership is not invested in employee’s success \r\n-Leadership puts company at extreme risk due to lack of knowledge of labor laws \r\n-Toxic work environment\r\n-Lack of support and collaboration across groups","0","Advanced Micro Device"
"28",52,2023-07-06 05:43:33,TRUE,78007436,5,3,3,3,3,4,3,"There are lots of interesting project and competitive product.","Need improve process and product development detail (design and test )","1","Advanced Micro Device"
"29",54,2023-05-02 12:15:01,TRUE,76041627,4,5,5,5,4,4,4,"Managers don't micromanage and you have very high autonomy to do your job.","Direction from Executive Management could be better.","1","Advanced Micro Device"
"30",55,2023-06-01 11:11:07,TRUE,76989789,4,5,5,5,4,2,2,"Not laid of yet Easy and slow pace company","5.4 billion dollar company missed their goals by a small percentage of an additional 1 billion and everyone in the company doesn't get their full bonus after giving Dr. Lisa that additional 5% she pushed all YEAR! Then has the audacity to ask for 5% again this year.","0","Advanced Micro Device"
"31",57,2023-05-09 11:20:26,TRUE,76261584,3,5,5,5,5,5,4,"Lisa Su’s leadership. Great work culture.","Can provide some more employee benefits.","1","Advanced Micro Device"
"32",59,2023-05-07 23:06:54,TRUE,76203811,1,4,5,5,5,5,5,"amicable leadership and homey team","work from home onboarding is difficulkt","1","Advanced Micro Device"
"33",61,2023-05-26 07:15:04,TRUE,76811299,4,4,4,4,5,5,4,"Great people. Strong financials. Interesting work","Can be too fast paced for some","1","Advanced Micro Device"
"34",62,2023-05-09 10:12:26,FALSE,76259019,5,4,4,4,4,4,4,"* Really talented firmware engineers * Plenty of mentors, though some seniors ignore less experienced SWEs","* Can be hard to start in firmware, since many members have their hands full and can't find time to help.","1","Advanced Micro Device"
